EIN,Organization Name,Organization Incorporation Date,Location State,Location County,Location Name,Location Type,Location Open Date,Location Close Date,Location City,Location Zip Code,Record Year,Record Month,Stray At Large Canine Adult,Stray At Large Canine Up to 5 Months,Stray At Large Canine Age Unknown,Stray At Large Feline Adult,Stray At Large Feline Up to 5 Months,Stray At Large Feline Age Unknown,Relinquished By Owner Canine Adult,Relinquished By Owner Canine Up to 5 Months,Relinquished By Owner Canine Age Unknown,Relinquished By Owner Feline Adult,Relinquished By Owner Feline Up to 5 Months,Relinquished By Owner Feline Age Unknown,Intake Owner-Intended Euthanasia Canine Adult,Intake Owner-Intended Euthanasia Canine Up to 5 Months,Intake Owner-Intended Euthanasia Canine Age Unknown,Intake Owner-Intended Euthanasia Feline Adult,Intake Owner-Intended Euthanasia Feline Up to 5 Months,Intake Owner-Intended Euthanasia Feline Age Unknown,Transferred In From Agency Canine Adult,Transferred In From Agency Canine Up to 5 Months,Transferred In From Agency Canine Age Unknown,Transferred In From Agency Feline Adult,Transferred In From Agency Feline Up to 5 Months,Transferred In From Agency Feline Age Unknown,Other Intakes Canine Adult,Other Intakes Canine Up to 5 Months,Other Intakes Canine Age Unknown,Other Intakes Feline Adult,Other Intakes Feline Up to 5 Months,Other Intakes Feline Age Unknown,Adoption Canine Adult,Adoption Canine Up to 5 Months,Adoption Canine Age Unknown,Adoption Feline Adult,Adoption Feline Up to 5 Months,Adoption Feline Age Unknown,Returned To Owner Canine Adult,Returned To Owner Canine Up to 5 Months,Returned To Owner Canine Age Unknown,Returned To Owner Feline Adult,Returned To Owner Feline Up to 5 Months,Returned To Owner Feline Age Unknown,Transfer To Another Agency Canine Adult,Transfer To Another Agency Canine Up to 5 Months,Transfer To Another Agency Canine Age Unknown,Transfer To Another Agency Feline Adult,Transfer To Another Agency Feline Up to 5 Months,Transfer To Another Agency Feline Age Unknown,Returned To Field Canine Adult,Returned To Field Canine Up to 5 Months,Returned To Field Canine Age Unknown,Returned To Field Feline Adult,Returned To Field Feline Up to 5 Months,Returned To Field Feline Age Unknown,Other Live Outcome Canine Adult,Other Live Outcome Canine Up to 5 Months,Other Live Outcome Canine Age Unknown,Other Live Outcome Feline Adult,Other Live Outcome Feline Up to 5 Months,Other Live Outcome Feline Age Unknown,Died In Care Canine Adult,Died In Care Canine Up to 5 Months,Died In Care Canine Age Unknown,Died In Care Feline Adult,Died In Care Feline Up to 5 Months,Died In Care Feline Age Unknown,Lost In Care Canine Adult,Lost In Care Canine Up to 5 Months,Lost In Care Canine Age Unknown,Lost In Care Feline Adult,Lost In Care Feline Up to 5 Months,Lost In Care Feline Age Unknown,Shelter Euthanasia Canine Adult,Shelter Euthanasia Canine Up to 5 Months,Shelter Euthanasia Canine Age Unknown,Shelter Euthanasia Feline Adult,Shelter Euthanasia Feline Up to 5 Months,Shelter Euthanasia Feline Age Unknown,Outcome Owner-Intended Euthanasia Canine Adult,Outcome Owner-Intended Euthanasia Canine Up to 5 Months,Outcome Owner-Intended Euthanasia Canine Age Unknown,Outcome Owner-Intended Euthanasia Feline Adult,Outcome Owner-Intended Euthanasia Feline Up to 5 Months,Outcome Owner-Intended Euthanasia Feline Age Unknown,Beginning Total Canine,Beginning Total Feline,Ending Total Canine,Ending Total Feline
27-0269094,"Spay Neuter Assistance Program, Inc. d/b/a SNAP 2 It",5/1/2009 12:00:00 AM,GA,Gwinnett County,"Spay Neuter Assistance Program, Inc. d/b/a SNAP 2 It","Rescue, Private",5/1/2009 12:00:00 AM,,DACULA,30019,2011,4,0,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,0,72
23-7361482,Humane Society of Dallas County,5/1/1983 12:00:00 AM,TX,Dallas County,Humane Society of Dallas County,"Shelter, Private",5/1/1983 12:00:00 AM,,DALLAS,75235,2011,9,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,142,27,165
58-1342479,Humane Society of Charlotte,7/1/1978 12:00:00 AM,NC,Mecklenburg County,Humane Society of Charlotte,"Shelter, Private",7/1/1978 12:00:00 AM,,CHARLOTTE,28203,2012,9,0,1,0,1,1,0,34,11,0,3,30,0,0,0,0,0,0,0,15,5,0,2,0,0,18,8,0,4,3,0,71,33,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,23,32,47
91-0828499,Blue Mountain Humane Society,7/1/1967 12:00:00 AM,WA,Walla Walla County,Blue Mountain Humane Society,"Shelter, Government Contract",7/1/1967 12:00:00 AM,,WALLA WALLA,99362,2011,4,0,0,61,0,0,41,0,0,19,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,43,0,0,24,0,0,23,0,0,1,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,76,61,70,79
58-1342479,Humane Society of Charlotte,7/1/1978 12:00:00 AM,NC,Mecklenburg County,Humane Society of Charlotte,"Shelter, Private",7/1/1978 12:00:00 AM,,CHARLOTTE,28203,2012,5,0,0,0,0,0,0,25,11,0,5,39,0,0,0,0,0,1,0,0,0,0,0,0,0,11,3,0,0,0,0,32,21,0,4,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,51,45,46,64
30-0506496,Cinderella Pet Rescue,,TX,Hidalgo County,Cinderella Pet Rescue,"Rescue, Private",,,MISSION,78574,2011,8,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,52,19
20-5318898,Dakin Humane Society,5/1/1969 12:00:00 AM,MA,Hampden County,Dakin Humane Society,"Shelter, Private",5/1/1969 12:00:00 AM,,SPRINGFIELD,1005,2011,2,5,1,0,49,2,0,41,8,0,133,28,0,12,0,0,10,0,0,15,2,0,1,0,0,0,0,0,4,0,0,26,6,0,122,30,0,1,2,0,15,0,0,5,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,41,2,0,3,0,0,5,0,0,30,131,34,140
59-0826963,Bishop Animal Shelter SPCA of Manatee County FL,6/1/1958 12:00:00 AM,FL,Manatee County,Bishop Animal Shelter SPCA of Manatee County FL,"Shelter, Private",6/1/1958 12:00:00 AM,,BRADENTON,34209,2012,12,0,0,20,0,0,21,0,0,39,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16,0,0,8,0,0,7,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,40,137,44,141
54-6001398,Louisa County Animal Shelter,1/1/1970 12:00:00 AM,VA,Louisa County,Louisa County Animal Shelter,Government Animal Services,1/1/1970 12:00:00 AM,,MINERAL,23117,2011,12,0,0,659,0,0,306,0,0,314,0,0,446,0,0,0,0,0,0,0,0,0,0,0,8,0,0,29,0,0,11,0,0,224,0,0,192,0,0,188,0,0,7,0,0,316,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,268,0,0,459,0,0,0,0,0,0,33,13,0,0
46-0753787,Orphan Kitten Rescue,9/1/2012 12:00:00 AM,TX,Eastland County,Orphan Kitten Rescue,"Rescue, Private",9/1/2012 12:00:00 AM,,EASTLAND,76448,2011,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13
72-6000179,Bossier City Animal Control,1/1/1980 12:00:00 AM,LA,Bossier Parish,Bossier City Animal Control,Government Animal Services,1/1/1980 12:00:00 AM,,BOSSIER CITY,71111,2011,3,141,0,0,64,0,0,67,0,0,61,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,30,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,88,0,0,92,0,0,17,0,0,3,0,0,78,105,90,106
93-6002148,city of dallas police department,1/1/1874 12:00:00 AM,OR,Polk County,city of dallas police department,Government Animal Services,1/1/1874 12:00:00 AM,,DALLAS,97338,2012,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94-6000814,Kings County Animal Services,1/1/1980 12:00:00 AM,CA,Kings County,Kings County Animal Services,Government Animal Services,1/1/1980 12:00:00 AM,,HANFORD,93232,2011,11,137,27,9,55,43,20,13,6,1,5,9,0,0,0,0,0,0,0,2,1,0,0,1,0,14,7,0,0,1,0,16,11,0,7,5,0,45,1,1,5,0,0,50,4,8,31,58,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,3,0,0,0,0,1,0,2,78,15,5,42,42,24,0,0,0,0,0,0,252,225,227,139
64-6034439,Humane Society of South Mississippi,8/1/1952 12:00:00 AM,MS,Harrison County,Humane Society of South Mississippi,"Shelter, Government Contract",8/1/1952 12:00:00 AM,,GULFPORT,39501,2011,8,203,50,26,37,21,8,221,118,28,149,176,99,0,0,0,0,0,0,57,25,0,9,0,1,0,0,0,0,0,0,234,171,0,63,146,0,82,8,2,13,3,1,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,1,1,1,3,0,2,7,7,5,147,37,50,68,76,100,13,0,3,40,0,0,353,211,247,163
56-6000347,Wake County Animal Center,7/1/1966 12:00:00 AM,NC,Wake County,Wake County Animal Center,Government Animal Services,7/1/1966 12:00:00 AM,,RALEIGH,27610,2012,7,240,49,24,44,82,123,183,48,46,116,143,30,10,1,24,3,0,6,1,0,0,0,0,0,26,4,19,7,9,14,145,81,4,66,119,6,92,3,14,6,1,0,42,14,2,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,2,4,117,1,67,83,88,174,10,0,24,3,0,6,403,447,461,446
86-0789269,Foothills Animal Rescue,3/1/1995 12:00:00 AM,AZ,Maricopa County,Resale Boutique,"Shelter, Private",3/1/1995 12:00:00 AM,,SCOTTSDALE,85255,2012,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,6,0,0,0,0,1,1,0,22,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,28,57,35,58
27-3328496,BestPals Animal Rescue Center,5/1/2010 12:00:00 AM,MI,Ottawa County,BestPals Animal Rescue Center,"Shelter, Private",5/1/2010 12:00:00 AM,,HOLLAND,49424,2012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61-1440813,King Street Cats,1/1/2003 12:00:00 AM,VA,Alexandria City,King Street Cats,"Rescue, Private",1/1/2003 12:00:00 AM,,ALEXANDRIA,22314,2012,3,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,104
57-0384155,Humane Society of Greenwood,3/1/1958 12:00:00 AM,SC,Greenwood County,Humane Society of Greenwood,"Shelter, Government Contract",3/1/1958 12:00:00 AM,,GREENWOOD,29649,2012,3,73,60,16,48,10,10,30,30,10,17,9,1,6,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,5,0,28,2,0,2,1,0,20,3,3,0,0,0,11,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,52,18,60,25,10,6,0,0,0,0,0,99,43,118,44
