ID,Breed,Description,Score
51688709,Schnauzer,,
51688632,Jack Russell Terrier,There&#039;s nothing quite like puppy sweetness and silliness...and then they put their beautiful heads quietly on your shoulder breathing their...,"Sentiment(polarity=0.425, subjectivity=0.6666666666666666)"
51688820,Labrador Retriever,"Zara . . . is a laid back and chill girl. She does love the attention with pets, chin scratches...","Sentiment(polarity=0.25, subjectivity=0.3)"
51688821,Border Collie,Palomita is a beautiful young border collie who needs an owner who will give her lots of physical and mental...,"Sentiment(polarity=0.2125, subjectivity=0.43571428571428567)"
51688822,Chihuahua,,
51688824,Chihuahua,,
51688823,Catahoula Leopard Dog,Petey has become a popular guy here at the League because he&amp;#39;s so sweet and special. He&amp;#39;s affectionate and loving...,"Sentiment(polarity=0.47678571428571426, subjectivity=0.7678571428571428)"
51688826,German Shepherd Dog,,
51688817,Australian Shepherd,,
51688804,Border Collie,"Click here to learn more about my Behavior Level Behavior Assessment; Level 4 This lovely little lady is Nala, she...","Sentiment(polarity=0.2708333333333333, subjectivity=0.5833333333333334)"
51688806,Havanese,Click here to learn more about my Behavior Level We elected to fast track this dog to adoptions. Therefore no...,"Sentiment(polarity=0.35, subjectivity=0.55)"
51688807,Pit Bull Terrier,"Click here to learn more about my Behavior Level Behavior Assessment; Level 4 Looking for a cute, squishy faced lap...","Sentiment(polarity=0.5, subjectivity=0.75)"
51688808,German Shepherd Dog,"Click here to learn more about my Behavior Level Behavior Assessment; Level 5 If you are looking for an active,...","Sentiment(polarity=0.18333333333333335, subjectivity=0.55)"
51688705,German Shepherd Dog,"Meet Zee! *Very social with both dogs and humans, and would love a mellow dog playmate *Enjoys gentle walks and...","Sentiment(polarity=0.2477777777777778, subjectivity=0.4955555555555556)"
51688307,Chihuahua,Meet Paulie! This charming little fellow can&amp;#39;t wait to meet his new family. Such a sweetie this guy is likely...,"Sentiment(polarity=0.12977272727272726, subjectivity=0.6909090909090909)"
51688129,West Highland White Terrier / Westie,"AMAZING LOYAL CUTIE PIE! Favorite Things: Treats, toys, walks, pets, outdoor playtime! Special Features: Easy to leash and walks well...","Sentiment(polarity=0.4864285714285714, subjectivity=0.8276190476190475)"
51688131,Boxer,,
51687669,Husky,,
51685543,Husky,Snoopy is the most handsome guy on the block! He has stunning blue eyes and the softest coat you&amp;#39;ve ever...,"Sentiment(polarity=0.40625, subjectivity=0.65)"
51685542,Staffordshire Bull Terrier,Honey was pulled off the euthanasia list in a New Mexico shelter and brought to CO to start a new...,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
51685509,Dachshund,Maria is an easygoing former mom in our rescue. She is believed to be approximately two years old. Her breed...,"Sentiment(polarity=-0.10000000000000002, subjectivity=0.26666666666666666)"
51685486,Labrador Retriever,"Bay Leaf - I am a loving fun girl that has so many great qualities! I am mostly potty trained,...","Sentiment(polarity=0.58, subjectivity=0.58)"
51685482,German Shepherd Dog,,
51685484,Husky,,
51685483,Dutch Shepherd,,
51685485,Husky,,
51685456,Retriever,"1020072

Hi, My name is Calvin.

I am a happy go lucky young man. I love to play with anyone...","Sentiment(polarity=0.43333333333333335, subjectivity=0.7083333333333334)"
51685432,Cattle Dog,"Fostered in Colorado Springs! Available for adoption starting around 6/9/21!

Foxie and her siblings were found dumped at a windmill...","Sentiment(polarity=0.2, subjectivity=0.25)"
51685309,Leonberger,He is a nice and playful guy. He is easy to leash up and walk to explore the neighborhood. He...,"Sentiment(polarity=0.5166666666666666, subjectivity=0.9166666666666667)"
51685259,Pit Bull Terrier,"Bowser is a big, friendly guy. Sweetest boy in the world, says his former owner. Although he looks like a...","Sentiment(polarity=0.125, subjectivity=0.19999999999999998)"
51685260,German Shepherd Dog,Bailey is a young German Shepherd full of energy looking for an adopter who will give her lots of mental...,"Sentiment(polarity=0.0875, subjectivity=0.28750000000000003)"
51685262,German Shepherd Dog,Mika&amp;#39;s new friends at the League describe her as a sweetheart. She can be a bit skittish when being leashed...,"Sentiment(polarity=0.41818181818181815, subjectivity=0.6272727272727273)"
51685266,Pit Bull Terrier,Willshire still has lots of puppy energy and needs an adopter who will give him lots of exercise and mental...,"Sentiment(polarity=-0.1, subjectivity=0.2)"
51685268,Chihuahua,,
51685269,Pit Bull Terrier,Danny is a cute pit bull who contracted heartworm disease in Oklahoma before coming to Denver. He will need an...,"Sentiment(polarity=0.5, subjectivity=1.0)"
51685271,Labrador Retriever,Chaz is an intelligent guy who knows it! We don&amp;#39;t know if he&amp;#39;s ever really lived indoors but he&amp;#39;s been...,"Sentiment(polarity=0.6, subjectivity=0.55)"
51685273,Siberian Husky,Oso is a gorgeous husky who would love lots of exercise and mental enrichment. He needs to be the only...,"Sentiment(polarity=0.27499999999999997, subjectivity=0.675)"
51685274,Labrador Retriever,"Maggie is a gorgeous, gentle and very chill girl! She loves car rides, being outside and getting lots of attention...","Sentiment(polarity=0.2875, subjectivity=0.5125)"
51685281,Pit Bull Terrier,"This strong and active gentleman is ready to go home! Calma nd gentle on the leash, this big guy loves...","Sentiment(polarity=0.15, subjectivity=0.5466666666666666)"
